,market_cap,weight
SKA_B,87515570176,0.013800027539334226
ESSITY_B,199083016192,0.03139271218296589
SEB_A,200890286080,0.03167769432014734
VOLV_B,281410076672,0.04437458157571081
ABB,394538549248,0.06221341909790236
BOL,67529867264,0.010648551178911819
TELIA,183387308032,0.02891771025563167
ATCO_A,351579439104,0.05543934561748904
ALFA,82821586944,0.01305984956025574
ELUX_B,70957572096,0.011189054097228873
ATCO_B,351723618304,0.05546208073681236
INVE_B,510507810816,0.08050021080977922
ASSA_B,249315213312,0.039313653590571186
SKF_B,76718530560,0.012097479709908739
SWED_A,156002861056,0.024599551536466136
SECU_B,57158721536,0.009013161083492
TEL2_B,94747836416,0.014940458585867789
SAND,192235274240,0.030312915441313974
GETI_B,38938660864,0.006140102740430506
ALIV_SDB,68270276608,0.010765303767245894
NDA_SE,284128509952,0.044803241916406736
ERIC_B,271021473792,0.042736438722377465
KINV_B,72156610560,0.011378126325069522
HEXA_B,165365104640,0.026075851342652924
SHB_A,182328803328,0.028750798310290537
AZN,1135854616576,0.17910898549715823
SCA_B,65578594304,0.01034086169542214
HM_B,337551523840,0.05322733218292725
SWMA,66263252992,0.01044882315565651
SSAB_A,46114762752,0.007271677424573124
